"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"245",131638.283364206,308426.825241902,260866.362061652,20.9238473648818,22.896503431517,21.7884345324141
"246",121558.164202516,334267.830142994,310468.840275818,19.6725157718761,21.5441218631045,20.3770856666563
"247",110860.831802426,262431.11585412,247631.241422114,21.1451659548828,22.8872451650323,21.9396708467223
"248",123649.559296807,316865.481352954,290135.773395935,20.7262454477817,22.5223465825722,21.4335889909246
"249",109572.502365707,257644.753697914,249832.699062998,21.8538595889262,23.4666124902081,22.5170754248953
"250",123551.001389591,297559.469954875,269093.27368064,21.275250664469,22.9230586749344,22.0349755920007
"251",121321.859748212,331871.051760259,295382.723159245,19.6603093761912,21.7051020832751,20.5421300313687
"252",134766.263959834,315058.366644925,292160.333452611,20.0411414853826,22.3101416736727,20.837858506647
"253",125752.968042889,339392.257026549,318919.561623237,19.6765120330801,21.4604359968742,20.3515821965286
"254",119831.206096174,321310.594990568,283221.94990204,20.4889847918054,22.3649207774714,21.235719123191
"255",124765.572096096,307645.08853382,294952.412488765,20.5200896352029,22.2757824266234,21.103367321527
"256",123135.903461281,328104.865301752,307075.646043576,20.2056994480824,22.0838525786634,20.9477593945155
"257",134617.553085579,349211.275721596,337875.560749838,19.052089149825,21.2943582979299,19.5200324067435
"258",123574.810925127,321212.217462121,299211.994882638,19.8022397102863,21.9089685259645,20.6536259763161
"259",112894.027476366,287077.328953643,257487.008165817,21.3017428302861,23.1601749168857,22.046449047409
"260",114753.715424422,297876.904907884,270032.691240555,19.997961631886,21.8939536598185,21.0400341409981
"261",120357.867545039,338772.375605468,309653.168743597,19.487080170986,21.6689731581038,20.0319044002221
"262",114664.903291667,281390.724491668,249102.870538596,21.060567755501,22.881044957378,21.9732719739742
"263",124124.301949624,313102.610664454,284791.276392554,19.7186186716663,21.8283840492496,20.7058778966319
"264",109880.357923197,290277.203898202,260284.963028028,21.3597420753847,23.1048505617642,22.0852459279184
"265",135916.826429884,357440.276227283,338010.248987421,19.8378101760117,21.8994597423335,20.3459547697396
"266",114453.00594542,307896.573668764,270271.744061804,20.9954024258336,22.6802474538964,21.7194076273456
"267",118436.73349169,286513.268925585,248639.889736422,21.5500736839294,23.0133365667633,22.5041730483286
"268",106937.55047521,258173.999267755,249280.673889545,21.8729990722567,23.6206383043892,22.3711789906726
"269",121652.114571624,317515.13275765,300327.585898502,20.0947431695681,21.9282945354175,20.8262104257979
"270",125464.048147734,314632.932818274,290036.961145245,19.4433363037795,21.4661465520802,20.6318359883724
"271",135647.648470772,330303.692164917,298767.753586626,20.5287988719042,22.5182170857306,21.3389344536296
"272",138760.155684124,384735.534285688,360797.052828774,18.6402614028213,20.8084935602255,19.311016167627
"273",123903.967401231,298226.079332614,278735.341205777,20.7908795640563,22.8897032665294,21.4679493175879
